epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4302,1.92837,3.38011,2.04312,0.30864,0.43975,0.33156,0.20436,1.42016,1.94971,1.69122,0.0028,0.0028,0.0028
2,61.5181,1.31749,1.50394,1.43008,0.69132,0.86192,0.70668,0.45237,1.25149,1.01761,1.33253,0.00569436,0.00569436,0.00569436
3,84.2113,1.24072,1.05137,1.31441,0.62011,0.87252,0.69401,0.45246,1.22394,0.94495,1.32514,0.00858297,0.00858297,0.00858297
4,107.367,1.21083,0.94405,1.29839,0.67999,0.95534,0.76491,0.48108,1.269,0.8261,1.36874,0.0099703,0.0099703,0.0099703
5,130.315,1.18444,0.88201,1.28392,0.6311,0.78487,0.66767,0.39133,1.43677,1.04818,1.54765,0.0099604,0.0099604,0.0099604
6,152.863,1.15178,0.85278,1.28294,0.63376,0.87324,0.73791,0.45171,1.3012,0.84955,1.44228,0.0099505,0.0099505,0.0099505
7,175.351,1.12044,0.83176,1.26805,0.68088,0.9018,0.8158,0.56924,1.07997,0.78013,1.29415,0.0099406,0.0099406,0.0099406
8,198.166,1.10704,0.81228,1.2649,0.66471,0.87282,0.72998,0.49194,1.15549,0.80784,1.32388,0.0099307,0.0099307,0.0099307
9,220.571,1.09076,0.7918,1.24912,0.65936,0.90016,0.70667,0.4858,1.11256,0.75995,1.3082,0.0099208,0.0099208,0.0099208
10,243.049,1.07092,0.78341,1.25417,0.70399,0.96311,0.77348,0.53763,1.1045,0.71929,1.29775,0.0099109,0.0099109,0.0099109
11,265.424,1.05865,0.77375,1.24193,0.60768,0.67596,0.57087,0.31504,1.68219,1.16419,1.83543,0.009901,0.009901,0.009901
12,288.196,1.04624,0.76123,1.23704,0.6764,0.90261,0.72646,0.43833,1.38814,0.77732,1.52058,0.0098911,0.0098911,0.0098911
13,310.588,1.03311,0.75106,1.23314,0.72611,0.98551,0.74897,0.54672,1.0307,0.69394,1.23915,0.0098812,0.0098812,0.0098812
14,332.898,1.03337,0.73463,1.23241,0.71087,0.96813,0.7663,0.5424,1.07706,0.69652,1.24259,0.0098713,0.0098713,0.0098713
15,355.132,1.01509,0.71881,1.22517,0.72375,0.96878,0.78814,0.55848,1.069,0.67227,1.25516,0.0098614,0.0098614,0.0098614
16,377.764,1.00173,0.71168,1.22053,0.66699,0.80547,0.68093,0.46311,1.21886,1.00745,1.43889,0.0098515,0.0098515,0.0098515
